problem,solver,phi,eps,n_evals,seed,cardinality,n_columns,file
dtlz2_interval,mopso,lu,0.1,5000,13,200,6,raw/dtlz2_interval_mopso_lu_0.1_5000.npz
dtlz2_interval,mopso,lu,0.1,5000,14,200,6,raw/dtlz2_interval_mopso_lu_0.1_5000.npz
dtlz2_interval,mopso,lu,0.1,5000,15,200,6,raw/dtlz2_interval_mopso_lu_0.1_5000.npz
dtlz2_interval,mopso,lu,0.1,20000,11,195,6,raw/dtlz2_interval_mopso_lu_0.1_20000.npz
dtlz2_interval,mopso,lu,0.1,20000,12,200,6,raw/dtlz2_interval_mopso_lu_0.1_20000.npz
dtlz2_interval,mopso,lu,0.1,20000,13,200,6,raw/dtlz2_interval_mopso_lu_0.1_20000.npz
dtlz2_interval,mopso,lu,0.1,20000,14,200,6,raw/dtlz2_interval_mopso_lu_0.1_20000.npz
dtlz2_interval,mopso,lu,0.1,20000,15,200,6,raw/dtlz2_interval_mopso_lu_0.1_20000.npz
dtlz2_interval,mopso,lu,0.25,5000,11,200,6,raw/dtlz2_interval_mopso_lu_0.25_5000.npz
dtlz2_interval,mopso,lu,0.25,5000,12,200,6,raw/dtlz2_interval_mopso_lu_0.25_5000.npz
dtlz2_interval,mopso,lu,0.25,5000,13,200,6,raw/dtlz2_interval_mopso_lu_0.25_5000.npz
dtlz2_interval,mopso,lu,0.25,5000,14,200,6,raw/dtlz2_interval_mopso_lu_0.25_5000.npz
dtlz2_interval,mopso,lu,0.25,5000,15,200,6,raw/dtlz2_interval_mopso_lu_0.25_5000.npz
dtlz2_interval,mopso,lu,0.5,5000,11,200,6,raw/dtlz2_interval_mopso_lu_0.5_5000.npz
dtlz2_interval,mopso,lu,0.5,5000,12,200,6,raw/dtlz2_interval_mopso_lu_0.5_5000.npz
dtlz2_interval,mopso,lu,0.5,5000,13,200,6,raw/dtlz2_interval_mopso_lu_0.5_5000.npz
dtlz2_interval,mopso,lu,0.5,5000,14,200,6,raw/dtlz2_interval_mopso_lu_0.5_5000.npz
dtlz2_interval,mopso,lu,0.5,5000,15,200,6,raw/dtlz2_interval_mopso_lu_0.5_5000.npz
dtlz2_interval,nsga2,cw,0.0,5000,11,100,6,raw/dtlz2_interval_nsga2_cw_0.0_5000.npz
dtlz2_interval,nsga2,cw,0.0,5000,12,100,6,raw/dtlz2_interval_nsga2_cw_0.0_5000.npz
dtlz2_interval,nsga2,cw,0.0,5000,13,100,6,raw/dtlz2_interval_nsga2_cw_0.0_5000.npz
dtlz2_interval,nsga2,cw,0.0,5000,14,100,6,raw/dtlz2_interval_nsga2_cw_0.0_5000.npz
dtlz2_interval,nsga2,cw,0.0,5000,15,100,6,raw/dtlz2_interval_nsga2_cw_0.0_5000.npz
dtlz2_interval,nsga2,cw,0.05,5000,11,100,6,raw/dtlz2_interval_nsga2_cw_0.05_5000.npz
dtlz2_interval,nsga2,cw,0.05,5000,12,100,6,raw/dtlz2_interval_nsga2_cw_0.05_5000.npz
dtlz2_interval,nsga2,cw,0.05,5000,13,100,6,raw/dtlz2_interval_nsga2_cw_0.05_5000.npz
dtlz2_interval,nsga2,cw,0.05,5000,14,100,6,raw/dtlz2_interval_nsga2_cw_0.05_5000.npz
dtlz2_interval,nsga2,cw,0.05,5000,15,100,6,raw/dtlz2_interval_nsga2_cw_0.05_5000.npz
dtlz2_interval,nsga2,cw,0.1,5000,11,100,6,raw/dtlz2_interval_nsga2_cw_0.1_5000.npz
dtlz2_interval,nsga2,cw,0.1,5000,12,100,6,raw/dtlz2_interval_nsga2_cw_0.1_5000.npz
dtlz2_interval,nsga2,cw,0.1,5000,13,100,6,raw/dtlz2_interval_nsga2_cw_0.1_5000.npz
dtlz2_interval,nsga2,cw,0.1,5000,14,100,6,raw/dtlz2_interval_nsga2_cw_0.1_5000.npz
dtlz2_interval,nsga2,cw,0.1,5000,15,100,6,raw/dtlz2_interval_nsga2_cw_0.1_5000.npz
dtlz2_interval,nsga2,cw,0.1,20000,11,100,6,raw/dtlz2_interval_nsga2_cw_0.1_20000.npz
dtlz2_interval,nsga2,cw,0.1,20000,12,100,6,raw/dtlz2_interval_nsga2_cw_0.1_20000.npz
dtlz2_interval,nsga2,cw,0.1,20000,13,100,6,raw/dtlz2_interval_nsga2_cw_0.1_20000.npz
dtlz2_interval,nsga2,cw,0.1,20000,14,100,6,raw/dtlz2_interval_nsga2_cw_0.1_20000.npz
dtlz2_interval,nsga2,cw,0.1,20000,15,100,6,raw/dtlz2_interval_nsga2_cw_0.1_20000.npz
dtlz2_interval,nsga2,cw,0.25,5000,11,100,6,raw/dtlz2_interval_nsga2_cw_0.25_5000.npz
dtlz2_interval,nsga2,cw,0.25,5000,12,100,6,raw/dtlz2_interval_nsga2_cw_0.25_5000.npz
dtlz2_interval,nsga2,cw,0.25,5000,13,100,6,raw/dtlz2_interval_nsga2_cw_0.25_5000.npz
dtlz2_interval,nsga2,cw,0.25,5000,14,100,6,raw/dtlz2_interval_nsga2_cw_0.25_5000.npz
dtlz2_interval,nsga2,cw,0.25,5000,15,100,6,raw/dtlz2_interval_nsga2_cw_0.25_5000.npz
dtlz2_interval,nsga2,cw,0.5,5000,11,100,6,raw/dtlz2_interval_nsga2_cw_0.5_5000.npz
dtlz2_interval,nsga2,cw,0.5,5000,12,100,6,raw/dtlz2_interval_nsga2_cw_0.5_5000.npz
dtlz2_interval,nsga2,cw,0.5,5000,13,100,6,raw/dtlz2_interval_nsga2_cw_0.5_5000.npz
dtlz2_interval,nsga2,cw,0.5,5000,14,100,6,raw/dtlz2_interval_nsga2_cw_0.5_5000.npz
dtlz2_interval,nsga2,cw,0.5,5000,15,100,6,raw/dtlz2_interval_nsga2_cw_0.5_5000.npz
dtlz2_interval,nsga2,ls,0.0,5000,11,100,6,raw/dtlz2_interval_nsga2_ls_0.0_5000.npz
dtlz2_interval,nsga2,ls,0.0,5000,12,100,6,raw/dtlz2_interval_nsga2_ls_0.0_5000.npz
dtlz2_interval,nsga2,ls,0.0,5000,13,100,6,raw/dtlz2_interval_nsga2_ls_0.0_5000.npz
dtlz2_interval,nsga2,ls,0.0,5000,14,100,6,raw/dtlz2_interval_nsga2_ls_0.0_5000.npz
dtlz2_interval,nsga2,ls,0.0,5000,15,100,6,raw/dtlz2_interval_nsga2_ls_0.0_5000.npz
dtlz2_interval,nsga2,ls,0.05,5000,11,100,6,raw/dtlz2_interval_nsga2_ls_0.05_5000.npz
dtlz2_interval,nsga2,ls,0.05,5000,12,100,6,raw/dtlz2_interval_nsga2_ls_0.05_5000.npz
dtlz2_interval,nsga2,ls,0.05,5000,13,100,6,raw/dtlz2_interval_nsga2_ls_0.05_5000.npz
dtlz2_interval,nsga2,ls,0.05,5000,14,100,6,raw/dtlz2_interval_nsga2_ls_0.05_5000.npz
dtlz2_interval,nsga2,ls,0.05,5000,15,100,6,raw/dtlz2_interval_nsga2_ls_0.05_5000.npz
dtlz2_interval,nsga2,ls,0.1,5000,11,100,6,raw/dtlz2_interval_nsga2_ls_0.1_5000.npz
dtlz2_interval,nsga2,ls,0.1,5000,12,100,6,raw/dtlz2_interval_nsga2_ls_0.1_5000.npz
dtlz2_interval,nsga2,ls,0.1,5000,13,100,6,raw/dtlz2_interval_nsga2_ls_0.1_5000.npz
dtlz2_interval,nsga2,ls,0.1,5000,14,100,6,raw/dtlz2_interval_nsga2_ls_0.1_5000.npz
dtlz2_interval,nsga2,ls,0.1,5000,15,100,6,raw/dtlz2_interval_nsga2_ls_0.1_5000.npz
dtlz2_interval,nsga2,ls,0.1,20000,11,100,6,raw/dtlz2_interval_nsga2_ls_0.1_20000.npz
dtlz2_interval,nsga2,ls,0.1,20000,12,100,6,raw/dtlz2_interval_nsga2_ls_0.1_20000.npz
dtlz2_interval,nsga2,ls,0.1,20000,13,100,6,raw/dtlz2_interval_nsga2_ls_0.1_20000.npz
dtlz2_interval,nsga2,ls,0.1,20000,14,100,6,raw/dtlz2_interval_nsga2_ls_0.1_20000.npz
dtlz2_interval,nsga2,ls,0.1,20000,15,100,6,raw/dtlz2_interval_nsga2_ls_0.1_20000.npz
dtlz2_interval,nsga2,ls,0.25,5000,11,100,6,raw/dtlz2_interval_nsga2_ls_0.25_5000.npz
dtlz2_interval,nsga2,ls,0.25,5000,12,100,6,raw/dtlz2_interval_nsga2_ls_0.25_5000.npz
dtlz2_interval,nsga2,ls,0.25,5000,13,100,6,raw/dtlz2_interval_nsga2_ls_0.25_5000.npz
dtlz2_interval,nsga2,ls,0.25,5000,14,100,6,raw/dtlz2_interval_nsga2_ls_0.25_5000.npz
dtlz2_interval,nsga2,ls,0.25,5000,15,100,6,raw/dtlz2_interval_nsga2_ls_0.25_5000.npz
dtlz2_interval,nsga2,ls,0.5,5000,11,100,6,raw/dtlz2_interval_nsga2_ls_0.5_5000.npz
dtlz2_interval,nsga2,ls,0.5,5000,12,100,6,raw/dtlz2_interval_nsga2_ls_0.5_5000.npz
dtlz2_interval,nsga2,ls,0.5,5000,13,100,6,raw/dtlz2_interval_nsga2_ls_0.5_5000.npz
dtlz2_interval,nsga2,ls,0.5,5000,14,100,6,raw/dtlz2_interval_nsga2_ls_0.5_5000.npz
dtlz2_interval,nsga2,ls,0.5,5000,15,100,6,raw/dtlz2_interval_nsga2_ls_0.5_5000.npz
dtlz2_interval,nsga2,lu,0.0,5000,11,100,6,raw/dtlz2_interval_nsga2_lu_0.0_5000.npz
dtlz2_interval,nsga2,lu,0.0,5000,12,100,6,raw/dtlz2_interval_nsga2_lu_0.0_5000.npz
dtlz2_interval,nsga2,lu,0.0,5000,13,100,6,raw/dtlz2_interval_nsga2_lu_0.0_5000.npz
dtlz2_interval,nsga2,lu,0.0,5000,14,100,6,raw/dtlz2_interval_nsga2_lu_0.0_5000.npz
dtlz2_interval,nsga2,lu,0.0,5000,15,100,6,raw/dtlz2_interval_nsga2_lu_0.0_5000.npz
dtlz2_interval,nsga2,lu,0.05,5000,11,100,6,raw/dtlz2_interval_nsga2_lu_0.05_5000.npz
dtlz2_interval,nsga2,lu,0.05,5000,12,100,6,raw/dtlz2_interval_nsga2_lu_0.05_5000.npz
dtlz2_interval,nsga2,lu,0.05,5000,13,100,6,raw/dtlz2_interval_nsga2_lu_0.05_5000.npz
dtlz2_interval,nsga2,lu,0.05,5000,14,100,6,raw/dtlz2_interval_nsga2_lu_0.05_5000.npz
dtlz2_interval,nsga2,lu,0.05,5000,15,100,6,raw/dtlz2_interval_nsga2_lu_0.05_5000.npz
dtlz2_interval,nsga2,lu,0.1,5000,11,100,6,raw/dtlz2_interval_nsga2_lu_0.1_5000.npz
dtlz2_interval,nsga2,lu,0.1,5000,12,100,6,raw/dtlz2_interval_nsga2_lu_0.1_5000.npz
dtlz2_interval,nsga2,lu,0.1,5000,13,100,6,raw/dtlz2_interval_nsga2_lu_0.1_5000.npz
dtlz2_interval,nsga2,lu,0.1,5000,14,100,6,raw/dtlz2_interval_nsga2_lu_0.1_5000.npz
dtlz2_interval,nsga2,lu,0.1,5000,15,100,6,raw/dtlz2_interval_nsga2_lu_0.1_5000.npz
dtlz2_interval,nsga2,lu,0.1,20000,11,100,6,raw/dtlz2_interval_nsga2_lu_0.1_20000.npz
dtlz2_interval,nsga2,lu,0.1,20000,12,100,6,raw/dtlz2_interval_nsga2_lu_0.1_20000.npz
dtlz2_interval,nsga2,lu,0.1,20000,13,100,6,raw/dtlz2_interval_nsga2_lu_0.1_20000.npz
dtlz2_interval,nsga2,lu,0.1,20000,14,100,6,raw/dtlz2_interval_nsga2_lu_0.1_20000.npz
dtlz2_interval,nsga2,lu,0.1,20000,15,100,6,raw/dtlz2_interval_nsga2_lu_0.1_20000.npz
dtlz2_interval,nsga2,lu,0.25,5000,11,100,6,raw/dtlz2_interval_nsga2_lu_0.25_5000.npz
dtlz2_interval,nsga2,lu,0.25,5000,12,100,6,raw/dtlz2_interval_nsga2_lu_0.25_5000.npz
dtlz2_interval,nsga2,lu,0.25,5000,13,100,6,raw/dtlz2_interval_nsga2_lu_0.25_5000.npz
dtlz2_interval,nsga2,lu,0.25,5000,14,100,6,raw/dtlz2_interval_nsga2_lu_0.25_5000.npz
dtlz2_interval,nsga2,lu,0.25,5000,15,100,6,raw/dtlz2_interval_nsga2_lu_0.25_5000.npz
dtlz2_interval,nsga2,lu,0.5,5000,11,100,6,raw/dtlz2_interval_nsga2_lu_0.5_5000.npz
dtlz2_interval,nsga2,lu,0.5,5000,12,100,6,raw/dtlz2_interval_nsga2_lu_0.5_5000.npz
dtlz2_interval,nsga2,lu,0.5,5000,13,100,6,raw/dtlz2_interval_nsga2_lu_0.5_5000.npz
dtlz2_interval,nsga2,lu,0.5,5000,14,100,6,raw/dtlz2_interval_nsga2_lu_0.5_5000.npz
dtlz2_interval,nsga2,lu,0.5,5000,15,100,6,raw/dtlz2_interval_nsga2_lu_0.5_5000.npz
dtlz2_interval,random_search,cw,0.0,5000,11,159,6,raw/dtlz2_interval_random_search_cw_0.0_5000.npz
dtlz2_interval,random_search,cw,0.0,5000,12,172,6,raw/dtlz2_interval_random_search_cw_0.0_5000.npz
dtlz2_interval,random_search,cw,0.0,5000,13,150,6,raw/dtlz2_interval_random_search_cw_0.0_5000.npz
dtlz2_interval,random_search,cw,0.0,5000,14,146,6,raw/dtlz2_interval_random_search_cw_0.0_5000.npz
dtlz2_interval,random_search,cw,0.0,5000,15,128,6,raw/dtlz2_interval_random_search_cw_0.0_5000.npz
