problem,solver,phi_a,phi_b,status,metric,n_evals,seed,cardinality_a,cardinality_b,delta,containment_violations,value
p0,random_search_noise_floor,ls,ls,check,coverage_a_in_b,5000,12,5000,5000,0.1,,1.0
p0,random_search_noise_floor,ls,ls,check,coverage_b_in_a,5000,12,5000,5000,0.1,,1.0
p0,random_search_noise_floor,ls,ls,check,overlap,5000,12,5000,5000,0.1,,1.0
p0,random_search_noise_floor,ls,ls,check,coverage_a_in_b,5000,13,5000,5000,0.1,,1.0
p0,random_search_noise_floor,ls,ls,check,coverage_b_in_a,5000,13,5000,5000,0.1,,1.0
p0,random_search_noise_floor,ls,ls,check,overlap,5000,13,5000,5000,0.1,,1.0
p0,random_search_noise_floor,ls,ls,check,coverage_a_in_b,5000,14,5000,5000,0.1,,1.0
p0,random_search_noise_floor,ls,ls,check,coverage_b_in_a,5000,14,5000,5000,0.1,,1.0
p0,random_search_noise_floor,ls,ls,check,overlap,5000,14,5000,5000,0.1,,1.0
p0,random_search_noise_floor,ls,ls,check,coverage_a_in_b,5000,15,5000,5000,0.1,,1.0
p0,random_search_noise_floor,ls,ls,check,coverage_b_in_a,5000,15,5000,5000,0.1,,1.0
p0,random_search_noise_floor,ls,ls,check,overlap,5000,15,5000,5000,0.1,,1.0
p0,random_search_noise_floor,cw,cw,check,coverage_a_in_b,5000,11,1,1,0.1,,1.0
p0,random_search_noise_floor,cw,cw,check,coverage_b_in_a,5000,11,1,1,0.1,,1.0
p0,random_search_noise_floor,cw,cw,check,overlap,5000,11,1,1,0.1,,1.0
p0,random_search_noise_floor,cw,cw,check,coverage_a_in_b,5000,12,1,1,0.1,,1.0
p0,random_search_noise_floor,cw,cw,check,coverage_b_in_a,5000,12,1,1,0.1,,1.0
p0,random_search_noise_floor,cw,cw,check,overlap,5000,12,1,1,0.1,,1.0
p0,random_search_noise_floor,cw,cw,check,coverage_a_in_b,5000,13,1,1,0.1,,1.0
p0,random_search_noise_floor,cw,cw,check,coverage_b_in_a,5000,13,1,1,0.1,,1.0
p0,random_search_noise_floor,cw,cw,check,overlap,5000,13,1,1,0.1,,1.0
p0,random_search_noise_floor,cw,cw,check,coverage_a_in_b,5000,14,1,1,0.1,,1.0
p0,random_search_noise_floor,cw,cw,check,coverage_b_in_a,5000,14,1,1,0.1,,1.0
p0,random_search_noise_floor,cw,cw,check,overlap,5000,14,1,1,0.1,,1.0
p0,random_search_noise_floor,cw,cw,check,coverage_a_in_b,5000,15,1,1,0.1,,1.0
p0,random_search_noise_floor,cw,cw,check,coverage_b_in_a,5000,15,1,1,0.1,,1.0
p0,random_search_noise_floor,cw,cw,check,overlap,5000,15,1,1,0.1,,1.0
p0,random_search,lu,ls,check,hausdorff_a_to_b,20000,11,20000,20000,0.1,0,0.0
p0,random_search,lu,ls,check,hausdorff_b_to_a,20000,11,20000,20000,0.1,0,0.0
p0,random_search,lu,ls,check,hausdorff_symmetric,20000,11,20000,20000,0.1,0,0.0
p0,random_search,lu,ls,check,coverage_a_in_b,20000,11,20000,20000,0.1,0,1.0
p0,random_search,lu,ls,check,coverage_b_in_a,20000,11,20000,20000,0.1,0,1.0
p0,random_search,lu,ls,check,overlap,20000,11,20000,20000,0.1,0,1.0
p0,random_search,lu,ls,check,cross_a_under_b,20000,11,20000,20000,0.1,0,1.0
p0,random_search,lu,ls,check,cross_b_under_a,20000,11,20000,20000,0.1,0,1.0
p0,random_search,lu,cw,finding,hausdorff_a_to_b,20000,11,20000,1,0.1,,1.0000974320529488
p0,random_search,lu,cw,finding,hausdorff_b_to_a,20000,11,20000,1,0.1,,0.0
p0,random_search,lu,cw,finding,hausdorff_symmetric,20000,11,20000,1,0.1,,1.0000974320529488
p0,random_search,lu,cw,finding,coverage_a_in_b,20000,11,20000,1,0.1,,0.09685
p0,random_search,lu,cw,finding,coverage_b_in_a,20000,11,20000,1,0.1,,1.0
p0,random_search,lu,cw,finding,overlap,20000,11,20000,1,0.1,,0.0968951552422379
p0,random_search,lu,cw,finding,cross_a_under_b,20000,11,20000,1,0.1,,5e-05
p0,random_search,lu,cw,finding,cross_b_under_a,20000,11,20000,1,0.1,,1.0
p0,random_search,ls,cw,check,hausdorff_a_to_b,20000,11,20000,1,0.1,0,1.0000974320529488
p0,random_search,ls,cw,check,hausdorff_b_to_a,20000,11,20000,1,0.1,0,0.0
p0,random_search,ls,cw,check,hausdorff_symmetric,20000,11,20000,1,0.1,0,1.0000974320529488
p0,random_search,ls,cw,check,coverage_a_in_b,20000,11,20000,1,0.1,0,0.09685
p0,random_search,ls,cw,check,coverage_b_in_a,20000,11,20000,1,0.1,0,1.0
p0,random_search,ls,cw,check,overlap,20000,11,20000,1,0.1,0,0.0968951552422379
p0,random_search,ls,cw,check,cross_a_under_b,20000,11,20000,1,0.1,0,5e-05
