measurement,problem,phi,column,n_evals,free_set_size,constant_column,defined,n_seeds,median,q1,q3,iqr,mean,standard_deviation,standard_error
m-2_overhang,p1,cw,3,20000,1,False,True,5,0.0,0.0,0.3402927264522684,0.3402927264522684,0.14188424871672867,0.19455031589949523,0.08700554627906588
m-1_tail_survival_lift,p1,ls,0,5000,0,False,True,5,1.2559101654846336,1.0510510510510511,1.2908124525436597,0.2397614014926086,1.2169395562253147,0.17483447485430237,0.07818835411693954
m-2_overhang,p1,ls,0,5000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-1_tail_survival_lift,p1,ls,0,20000,0,False,True,5,1.1023188063462068,1.0972646759150404,1.1779950524207798,0.08073037650573944,1.1537951059119358,0.1213137549029565,0.05425316051375182
m-2_overhang,p1,ls,0,20000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-1_tail_survival_lift,p1,ls,1,5000,1,False,True,5,1.8223234624145788,1.6804155209288114,1.9208037825059103,0.24038826157709892,1.7857957922064998,0.16751339865717643,0.07491426930789369
m-2_overhang,p1,ls,1,5000,1,False,True,5,0.0,0.0,0.05692723165516833,0.05692723165516833,0.041573358444416855,0.06591991350554674,0.029480281533861792
m-1_tail_survival_lift,p1,ls,1,20000,1,False,True,5,1.9633250873679664,1.8387496502378384,1.9684264399039408,0.1296767896661024,1.8809572013083549,0.1440585317080951,0.0644249339276219
m-2_overhang,p1,ls,1,20000,1,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-1_tail_survival_lift,p1,ls,2,5000,0,False,True,5,1.2985029025358996,1.1081560283687943,1.3315579227696404,0.223401894400846,1.2463881291607186,0.16260548883471254,0.07271938530980006
m-2_overhang,p1,ls,2,5000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-1_tail_survival_lift,p1,ls,2,20000,0,False,True,5,1.4390214654035256,1.2540167724743319,1.496004094326995,0.24198732185266314,1.375642424829366,0.1506072090944593,0.0673535914873471
m-2_overhang,p1,ls,2,20000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-1_tail_survival_lift,p1,ls,3,5000,1,False,True,5,1.6516516516516515,1.4055333629235094,1.9095630919645585,0.5040297290410491,1.6541438183062798,0.28925988618267473,0.12936095373366258
m-2_overhang,p1,ls,3,5000,1,False,True,5,0.029342030921972073,0.0,0.08216813972869197,0.08216813972869197,0.0961277375564078,0.15625756820562287,0.06988050890131652
m-1_tail_survival_lift,p1,ls,3,20000,1,False,True,5,1.7277260768838103,1.7242730621522062,1.8896893823077832,0.16541632015557695,1.7702188121352151,0.13459053495053233,0.06019071705549031
m-2_overhang,p1,ls,3,20000,1,False,True,5,0.0,0.0,0.00695939311893512,0.00695939311893512,0.07521758205006202,0.16432884109682527,0.07349009187125248
m-1_tail_survival_lift,p1,lu,0,5000,0,False,True,5,4.519774011299435,3.278688524590164,4.660087719298246,1.3813991947080817,4.048214263292799,0.8688548813568852,0.38856371545930196
m-2_overhang,p1,lu,0,5000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-1_tail_survival_lift,p1,lu,0,20000,0,False,True,5,4.172684962285348,3.7365716954694066,4.412923561859732,0.6763518663903256,4.1599030455123485,0.5403612462110883,0.2416568957868988
m-2_overhang,p1,lu,0,20000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-1_tail_survival_lift,p1,lu,1,5000,0,False,True,5,3.672316384180791,2.947481243301179,4.385964912280702,1.438483668979523,3.6989424704658225,0.8158969299285352,0.3648801995907175
m-2_overhang,p1,lu,1,5000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-1_tail_survival_lift,p1,lu,1,20000,0,False,True,5,5.183025591188856,3.4672970843183606,5.241605241605241,1.7743081572868808,4.492465138188176,1.1089722503468378,0.4959474673872888
m-2_overhang,p1,lu,1,20000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-1_tail_survival_lift,p1,lu,2,5000,0,False,True,5,2.5597269624573378,2.542372881355932,3.0153508771929824,0.47297799583705036,2.7583802396100325,0.3356609675783492,0.15011214817970833
m-2_overhang,p1,lu,2,5000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-1_tail_survival_lift,p1,lu,2,20000,0,False,True,5,2.888781896966779,2.802428771602055,3.239390994493035,0.43696222289097975,3.0111751746884923,0.4186955340802858,0.1872463352158198
m-2_overhang,p1,lu,2,20000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-1_tail_survival_lift,p1,lu,3,5000,0,False,True,5,8.223684210526315,8.19672131147541,8.474576271186441,0.277854959711032,8.2931980420765,0.20560542866586462,0.09194954300797144
m-2_overhang,p1,lu,3,5000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-1_tail_survival_lift,p1,lu,3,20000,0,False,True,5,9.629272989889264,9.456264775413711,9.718172983479105,0.2619082080653943,9.594629963093084,0.19633180495554078,0.08780225240516384
m-2_overhang,p1,lu,3,20000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
