problem,phi_a,phi_b,status,metric,n_evals,seed,delta_box_fraction,delta,box_scale,cardinality_a,cardinality_b,value
p0,lu,cw,finding,coverage_a_in_b,5000,14,0.0,0.0,2.0,5000,1,0.0002
p0,lu,cw,finding,coverage_b_in_a,5000,14,0.0,0.0,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,14,0.0,0.0,2.0,5000,1,0.0003999200159968006
p0,lu,cw,finding,coverage_a_in_b,5000,14,0.01,0.02,2.0,5000,1,0.0236
p0,lu,cw,finding,coverage_b_in_a,5000,14,0.01,0.02,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,14,0.01,0.02,2.0,5000,1,0.023795240951809637
p0,lu,cw,finding,coverage_a_in_b,5000,14,0.02,0.04,2.0,5000,1,0.0418
p0,lu,cw,finding,coverage_b_in_a,5000,14,0.02,0.04,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,14,0.02,0.04,2.0,5000,1,0.041991601679664065
p0,lu,cw,finding,coverage_a_in_b,5000,14,0.05,0.1,2.0,5000,1,0.1028
p0,lu,cw,finding,coverage_b_in_a,5000,14,0.05,0.1,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,14,0.05,0.1,2.0,5000,1,0.10297940411917617
p0,lu,cw,finding,coverage_a_in_b,5000,14,0.1,0.2,2.0,5000,1,0.196
p0,lu,cw,finding,coverage_b_in_a,5000,14,0.1,0.2,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,14,0.1,0.2,2.0,5000,1,0.19616076784643072
p0,lu,cw,finding,coverage_a_in_b,5000,14,0.2,0.4,2.0,5000,1,0.397
p0,lu,cw,finding,coverage_b_in_a,5000,14,0.2,0.4,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,14,0.2,0.4,2.0,5000,1,0.397120575884823
p0,ls,cw,check,coverage_a_in_b,5000,14,0.0,0.0,2.0,5000,1,0.0002
p0,ls,cw,check,coverage_b_in_a,5000,14,0.0,0.0,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,14,0.0,0.0,2.0,5000,1,0.0003999200159968006
p0,ls,cw,check,coverage_a_in_b,5000,14,0.01,0.02,2.0,5000,1,0.0236
p0,ls,cw,check,coverage_b_in_a,5000,14,0.01,0.02,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,14,0.01,0.02,2.0,5000,1,0.023795240951809637
p0,ls,cw,check,coverage_a_in_b,5000,14,0.02,0.04,2.0,5000,1,0.0418
p0,ls,cw,check,coverage_b_in_a,5000,14,0.02,0.04,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,14,0.02,0.04,2.0,5000,1,0.041991601679664065
p0,ls,cw,check,coverage_a_in_b,5000,14,0.05,0.1,2.0,5000,1,0.1028
p0,ls,cw,check,coverage_b_in_a,5000,14,0.05,0.1,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,14,0.05,0.1,2.0,5000,1,0.10297940411917617
p0,ls,cw,check,coverage_a_in_b,5000,14,0.1,0.2,2.0,5000,1,0.196
p0,ls,cw,check,coverage_b_in_a,5000,14,0.1,0.2,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,14,0.1,0.2,2.0,5000,1,0.19616076784643072
p0,ls,cw,check,coverage_a_in_b,5000,14,0.2,0.4,2.0,5000,1,0.397
p0,ls,cw,check,coverage_b_in_a,5000,14,0.2,0.4,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,14,0.2,0.4,2.0,5000,1,0.397120575884823
p0,lu,ls,check,coverage_a_in_b,5000,15,0.0,0.0,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,15,0.0,0.0,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,15,0.0,0.0,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_a_in_b,5000,15,0.01,0.02,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,15,0.01,0.02,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,15,0.01,0.02,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_a_in_b,5000,15,0.02,0.04,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,15,0.02,0.04,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,15,0.02,0.04,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_a_in_b,5000,15,0.05,0.1,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,15,0.05,0.1,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,15,0.05,0.1,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_a_in_b,5000,15,0.1,0.2,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,15,0.1,0.2,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,15,0.1,0.2,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_a_in_b,5000,15,0.2,0.4,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,15,0.2,0.4,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,15,0.2,0.4,2.0,5000,5000,1.0
p0,lu,cw,finding,coverage_a_in_b,5000,15,0.0,0.0,2.0,5000,1,0.0002
p0,lu,cw,finding,coverage_b_in_a,5000,15,0.0,0.0,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,15,0.0,0.0,2.0,5000,1,0.0003999200159968006
p0,lu,cw,finding,coverage_a_in_b,5000,15,0.01,0.02,2.0,5000,1,0.0178
p0,lu,cw,finding,coverage_b_in_a,5000,15,0.01,0.02,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,15,0.01,0.02,2.0,5000,1,0.017996400719856028
p0,lu,cw,finding,coverage_a_in_b,5000,15,0.02,0.04,2.0,5000,1,0.0348
p0,lu,cw,finding,coverage_b_in_a,5000,15,0.02,0.04,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,15,0.02,0.04,2.0,5000,1,0.03499300139972006
p0,lu,cw,finding,coverage_a_in_b,5000,15,0.05,0.1,2.0,5000,1,0.0966
p0,lu,cw,finding,coverage_b_in_a,5000,15,0.05,0.1,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,15,0.05,0.1,2.0,5000,1,0.09678064387122576
p0,lu,cw,finding,coverage_a_in_b,5000,15,0.1,0.2,2.0,5000,1,0.2056
p0,lu,cw,finding,coverage_b_in_a,5000,15,0.1,0.2,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,15,0.1,0.2,2.0,5000,1,0.20575884823035392
p0,lu,cw,finding,coverage_a_in_b,5000,15,0.2,0.4,2.0,5000,1,0.403
p0,lu,cw,finding,coverage_b_in_a,5000,15,0.2,0.4,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,15,0.2,0.4,2.0,5000,1,0.40311937612477505
p0,ls,cw,check,coverage_a_in_b,5000,15,0.0,0.0,2.0,5000,1,0.0002
p0,ls,cw,check,coverage_b_in_a,5000,15,0.0,0.0,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,15,0.0,0.0,2.0,5000,1,0.0003999200159968006
p0,ls,cw,check,coverage_a_in_b,5000,15,0.01,0.02,2.0,5000,1,0.0178
