problem,phi,solver,metric,n_evals,seed,cardinality,reference_size,include_singular_segments,value
p1,lu,mopso,spread,20000,15,200,0,False,3.3877424534861977
p1,lu,mopso,hypervolume,20000,15,200,0,False,7.825754867055293
p1,lu,mopso,igd,20000,15,200,1000,False,0.04285902710619192
p1,lu,mopso,igd,20000,15,200,1000,True,0.04285902710619192
p1,ls,random_search,spread,5000,11,2220,0,False,4.465284820412165
p1,ls,random_search,hypervolume,5000,11,2220,0,False,20.77454428004232
p1,ls,random_search,igd,5000,11,2220,1000,False,0.02516731789789867
p1,ls,random_search,igd,5000,11,2220,1000,True,0.02528612683565807
p1,ls,random_search,spread,5000,12,2253,0,False,4.813470564886856
p1,ls,random_search,hypervolume,5000,12,2253,0,False,20.776497148682125
p1,ls,random_search,igd,5000,12,2253,1000,False,0.025249240307787094
p1,ls,random_search,igd,5000,12,2253,1000,True,0.025547091108690943
p1,ls,random_search,spread,5000,13,2256,0,False,4.5324016754639045
p1,ls,random_search,hypervolume,5000,13,2256,0,False,20.77657189323398
p1,ls,random_search,igd,5000,13,2256,1000,False,0.024867907132002334
p1,ls,random_search,igd,5000,13,2256,1000,True,0.024840241711254644
p1,ls,random_search,spread,5000,14,2195,0,False,4.621947891911656
p1,ls,random_search,hypervolume,5000,14,2195,0,False,20.77434824434922
p1,ls,random_search,igd,5000,14,2195,1000,False,0.025168028182373358
p1,ls,random_search,igd,5000,14,2195,1000,True,0.025776904817781023
p1,ls,random_search,spread,5000,15,2182,0,False,4.536467732749829
p1,ls,random_search,hypervolume,5000,15,2182,0,False,20.77586144445648
p1,ls,random_search,igd,5000,15,2182,1000,False,0.024628780809680555
p1,ls,random_search,igd,5000,15,2182,1000,True,0.02506864430342647
p1,ls,random_search,spread,20000,11,8339,0,False,4.391070913864855
p1,ls,random_search,hypervolume,20000,11,8339,0,False,20.823830738454326
p1,ls,random_search,igd,20000,11,8339,1000,False,0.012520541657983848
p1,ls,random_search,igd,20000,11,8339,1000,True,0.012408916139676733
p1,ls,random_search,spread,20000,12,8506,0,False,4.784780469789045
p1,ls,random_search,hypervolume,20000,12,8506,0,False,20.824461348326132
p1,ls,random_search,igd,20000,12,8506,1000,False,0.012648772176591624
p1,ls,random_search,igd,20000,12,8506,1000,True,0.01274009805843571
p1,ls,random_search,spread,20000,13,8489,0,False,4.680248576492737
p1,ls,random_search,hypervolume,20000,13,8489,0,False,20.824156855532596
p1,ls,random_search,igd,20000,13,8489,1000,False,0.012074784594270463
p1,ls,random_search,igd,20000,13,8489,1000,True,0.012131573498875926
p1,ls,random_search,spread,20000,14,8467,0,False,4.45036162779284
p1,ls,random_search,hypervolume,20000,14,8467,0,False,20.824295398215952
p1,ls,random_search,igd,20000,14,8467,1000,False,0.012378653863722508
p1,ls,random_search,igd,20000,14,8467,1000,True,0.01265700650381612
p1,ls,random_search,spread,20000,15,8382,0,False,4.469159944053621
p1,ls,random_search,hypervolume,20000,15,8382,0,False,20.82416786356159
p1,ls,random_search,igd,20000,15,8382,1000,False,0.012327578993623401
p1,ls,random_search,igd,20000,15,8382,1000,True,0.012571329400872506
p1,ls,nsga2,spread,5000,11,100,0,False,4.558728616143296
p1,ls,nsga2,hypervolume,5000,11,100,0,False,19.78628220588288
p1,ls,nsga2,igd,5000,11,100,1000,False,0.17480347777683722
p1,ls,nsga2,igd,5000,11,100,1000,True,0.17552192739894723
p1,ls,nsga2,spread,5000,12,100,0,False,4.578554094472406
p1,ls,nsga2,hypervolume,5000,12,100,0,False,19.932927944562124
p1,ls,nsga2,igd,5000,12,100,1000,False,0.17208015731507112
p1,ls,nsga2,igd,5000,12,100,1000,True,0.17305995720907297
p1,ls,nsga2,spread,5000,13,100,0,False,4.5652584262510905
p1,ls,nsga2,hypervolume,5000,13,100,0,False,19.805017337595388
p1,ls,nsga2,igd,5000,13,100,1000,False,0.19182642988663706
p1,ls,nsga2,igd,5000,13,100,1000,True,0.19018671531923687
p1,ls,nsga2,spread,5000,14,100,0,False,4.408516865468154
p1,ls,nsga2,hypervolume,5000,14,100,0,False,19.960293565413714
p1,ls,nsga2,igd,5000,14,100,1000,False,0.15742195252978655
p1,ls,nsga2,igd,5000,14,100,1000,True,0.15822345729783127
p1,ls,nsga2,spread,5000,15,100,0,False,4.902540857602564
p1,ls,nsga2,hypervolume,5000,15,100,0,False,19.968666959508038
p1,ls,nsga2,igd,5000,15,100,1000,False,0.1506878634165872
p1,ls,nsga2,igd,5000,15,100,1000,True,0.15042659156955668
p1,ls,nsga2,spread,20000,11,100,0,False,4.605948456030652
p1,ls,nsga2,hypervolume,20000,11,100,0,False,19.972066818776653
p1,ls,nsga2,igd,20000,11,100,1000,False,0.15616605771835954
p1,ls,nsga2,igd,20000,11,100,1000,True,0.156759498763647
p1,ls,nsga2,spread,20000,12,100,0,False,4.410171027935028
p1,ls,nsga2,hypervolume,20000,12,100,0,False,19.94820379790643
p1,ls,nsga2,igd,20000,12,100,1000,False,0.15261835392555412
p1,ls,nsga2,igd,20000,12,100,1000,True,0.15240375880024817
p1,ls,nsga2,spread,20000,13,100,0,False,4.470300726420755
p1,ls,nsga2,hypervolume,20000,13,100,0,False,19.885344725193743
p1,ls,nsga2,igd,20000,13,100,1000,False,0.1737389067946613
p1,ls,nsga2,igd,20000,13,100,1000,True,0.17675668362491503
p1,ls,nsga2,spread,20000,14,100,0,False,4.351266287156883
p1,ls,nsga2,hypervolume,20000,14,100,0,False,19.9260113342392
p1,ls,nsga2,igd,20000,14,100,1000,False,0.15521023249503269
p1,ls,nsga2,igd,20000,14,100,1000,True,0.15406852703726326
p1,ls,nsga2,spread,20000,15,100,0,False,4.557030102150237
p1,ls,nsga2,hypervolume,20000,15,100,0,False,19.6251922000212
p1,ls,nsga2,igd,20000,15,100,1000,False,0.19064507526199845
p1,ls,nsga2,igd,20000,15,100,1000,True,0.19259866028370184
p1,ls,mopso,spread,5000,11,200,0,False,5.10273823504182
p1,ls,mopso,hypervolume,5000,11,200,0,False,20.385651645561264
p1,ls,mopso,igd,5000,11,200,1000,False,0.10017253698112426
p1,ls,mopso,igd,5000,11,200,1000,True,0.1028689183464597
p1,ls,mopso,spread,5000,12,200,0,False,4.600009856775673
p1,ls,mopso,hypervolume,5000,12,200,0,False,20.390503671103556
p1,ls,mopso,igd,5000,12,200,1000,False,0.09089156615827738
p1,ls,mopso,igd,5000,12,200,1000,True,0.09251151194891517
p1,ls,mopso,spread,5000,13,200,0,False,4.723541686209536
p1,ls,mopso,hypervolume,5000,13,200,0,False,20.338304434960882
p1,ls,mopso,igd,5000,13,200,1000,False,0.0969667410951015
p1,ls,mopso,igd,5000,13,200,1000,True,0.09780340759251169
p1,ls,mopso,spread,5000,14,200,0,False,4.603686171046355
p1,ls,mopso,hypervolume,5000,14,200,0,False,20.403291648443414
p1,ls,mopso,igd,5000,14,200,1000,False,0.09237471365284242
p1,ls,mopso,igd,5000,14,200,1000,True,0.09282720807375301
p1,ls,mopso,spread,5000,15,200,0,False,4.776861209885943
p1,ls,mopso,hypervolume,5000,15,200,0,False,20.360443367033355
p1,ls,mopso,igd,5000,15,200,1000,False,0.09943634601643085
p1,ls,mopso,igd,5000,15,200,1000,True,0.10105842130840968
p1,ls,mopso,spread,20000,11,200,0,False,4.542644577075722
p1,ls,mopso,hypervolume,20000,11,200,0,False,20.419749544976423
