problem,solver,phi,n_evals,seed,cardinality,n_dominating,share_dominating,widest_margin,widest_x_1,widest_x_2
ibk1,nsga2,lu,5000,14,100,4,0.04,0.2397544256296531,2.628222398499332,2.5688898106578537
ibk1,nsga2,lu,5000,15,100,7,0.07,0.2634970770083154,3.052339013265714,2.2735033411095613
ibk1,nsga2,lu,20000,11,100,8,0.08,0.25905217212716125,3.109452071724845,2.212801261190206
ibk1,nsga2,lu,20000,12,100,4,0.04,0.26372332460944836,2.737856093146884,2.5262636956806706
ibk1,nsga2,lu,20000,13,100,7,0.07,0.19163936625485833,2.922373400979305,2.2250686400393405
ibk1,nsga2,lu,20000,14,100,8,0.08,0.2083492941317031,2.4055099191860485,2.7759995867001392
ibk1,nsga2,lu,20000,15,100,6,0.06,0.21413639555404052,2.6719119155123896,2.4757551792018266
ibk1,nsga2,ls,5000,11,100,7,0.07,0.2426513378554367,2.5687736279578743,2.6344567327287134
ibk1,nsga2,ls,5000,12,100,9,0.09,0.24008296485980973,2.6689883591260246,2.5304403061452594
ibk1,nsga2,ls,5000,13,100,6,0.06,0.18648288362575682,2.8355230830573985,2.505311614326633
ibk1,nsga2,ls,5000,14,100,6,0.06,0.18425975515056248,2.709377440549635,2.5981352426805264
ibk1,nsga2,ls,5000,15,100,4,0.04,0.23692103226861327,2.9873966973189354,2.2589440678178168
ibk1,nsga2,ls,20000,11,100,4,0.04,0.19150962708332742,3.1337266768939958,2.0785110623811023
ibk1,nsga2,ls,20000,12,100,4,0.04,0.24699813854276664,2.5468222419648487,2.6665245872188925
ibk1,nsga2,ls,20000,13,100,8,0.08,0.2231031173693483,2.6912571119846107,2.4757486053594278
ibk1,nsga2,ls,20000,14,100,4,0.04,0.15485086300973538,3.09525884473094,2.0408409131432403
ibk1,nsga2,ls,20000,15,100,4,0.04,0.19500373001571614,2.317930033563455,2.81147689183278
ibk1,nsga2,cw,5000,11,100,8,0.08,0.18030122246784708,2.558657137328484,2.5160509662627186
ibk1,nsga2,cw,5000,12,100,6,0.06,0.24587715453369507,2.6769138438965725,2.5347070831271084
ibk1,nsga2,cw,5000,13,100,7,0.07,0.2672419054688755,2.7461198898216233,2.5138834713043816
ibk1,nsga2,cw,5000,14,100,6,0.06,0.2190037517264527,2.6753407789355856,2.4822446527401314
ibk1,nsga2,cw,5000,15,100,5,0.05,0.25895678948666156,2.799639638687301,2.4500948281363026
ibk1,nsga2,cw,20000,11,100,10,0.1,0.2511431585573114,2.6923270188573354,2.5309143744027405
ibk1,nsga2,cw,20000,12,100,5,0.05,0.25297475851809303,2.619246119481197,2.60512351566647
ibk1,nsga2,cw,20000,13,100,5,0.05,0.19604826479850712,2.3543934449039052,2.7698759434400286
ibk1,nsga2,cw,20000,14,100,5,0.05,0.20069718713902907,2.799951506514049,2.5224684504765778
ibk1,nsga2,cw,20000,15,100,7,0.07,0.24610311383919892,2.6739040656676667,2.5380055715151184
ibk1,mopso,lu,5000,11,200,17,0.085,0.23162042617491463,2.944620880616345,2.2811063989459752
ibk1,mopso,lu,5000,12,165,10,0.06060606060606061,0.21395733148115292,2.5857026334241118,2.662309803422315
ibk1,mopso,lu,5000,13,200,15,0.075,0.25162593378652875,3.1130958547285146,2.226804815625518
ibk1,mopso,lu,5000,14,200,16,0.08,0.24889143261487834,2.619527966046338,2.5963343474152376
ibk1,mopso,lu,5000,15,200,13,0.065,0.2645781118305168,2.869438803574586,2.402289879532141
ibk1,mopso,lu,20000,11,200,15,0.075,0.23805236244016226,2.541315908716572,2.6531896295464854
ibk1,mopso,lu,20000,12,200,13,0.065,0.2642259746982252,3.0730863995042994,2.247198839501399
ibk1,mopso,lu,20000,13,162,13,0.08024691358024691,0.2327462823661961,2.909838015973237,2.3098457187612187
