problem,solver,phi_a,phi_b,status,metric,n_evals,seed,delta_box_fraction,delta,box_scale,cardinality_a,cardinality_b,containment_violations,value
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,12,0.0,0.0,28.284271247461902,143,102,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,12,0.0,0.0,28.284271247461902,143,102,,0.8326530612244898
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,12,0.0,0.0,28.284271247461902,143,102,,0.7132867132867132
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,12,0.01,0.282842712474619,28.284271247461902,110,143,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,12,0.01,0.282842712474619,28.284271247461902,110,143,,0.8951048951048951
ibk1,random_search,lu,ls,check,overlap,5000,12,0.01,0.282842712474619,28.284271247461902,110,143,,0.9407114624505929
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,12,0.01,0.282842712474619,28.284271247461902,110,143,,0.8880597014925372
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,12,0.01,0.282842712474619,28.284271247461902,110,102,,0.9181818181818182
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,12,0.01,0.282842712474619,28.284271247461902,110,102,,0.9607843137254902
ibk1,random_search,lu,cw,finding,overlap,5000,12,0.01,0.282842712474619,28.284271247461902,110,102,,0.9386792452830188
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,12,0.01,0.282842712474619,28.284271247461902,110,102,,0.8844444444444444
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,12,0.01,0.282842712474619,28.284271247461902,143,102,,0.8181818181818182
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,12,0.01,0.282842712474619,28.284271247461902,143,102,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,12,0.01,0.282842712474619,28.284271247461902,143,102,,0.8938775510204081
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,12,0.01,0.282842712474619,28.284271247461902,143,102,,0.8081180811808119
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,12,0.02,0.565685424949238,28.284271247461902,110,143,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,12,0.02,0.565685424949238,28.284271247461902,110,143,,0.993006993006993
ibk1,random_search,lu,ls,check,overlap,5000,12,0.02,0.565685424949238,28.284271247461902,110,143,,0.9960474308300395
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,12,0.02,0.565685424949238,28.284271247461902,110,143,,0.9921259842519685
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,12,0.02,0.565685424949238,28.284271247461902,110,102,,1.0
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,12,0.02,0.565685424949238,28.284271247461902,110,102,,1.0
ibk1,random_search,lu,cw,finding,overlap,5000,12,0.02,0.565685424949238,28.284271247461902,110,102,,1.0
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,12,0.02,0.565685424949238,28.284271247461902,110,102,,1.0
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,12,0.02,0.565685424949238,28.284271247461902,143,102,,0.993006993006993
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,12,0.02,0.565685424949238,28.284271247461902,143,102,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,12,0.02,0.565685424949238,28.284271247461902,143,102,,0.9959183673469387
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,12,0.02,0.565685424949238,28.284271247461902,143,102,,0.991869918699187
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,12,0.05,1.4142135623730951,28.284271247461902,110,143,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,12,0.05,1.4142135623730951,28.284271247461902,110,143,,1.0
ibk1,random_search,lu,ls,check,overlap,5000,12,0.05,1.4142135623730951,28.284271247461902,110,143,,1.0
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,12,0.05,1.4142135623730951,28.284271247461902,110,143,,1.0
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,12,0.05,1.4142135623730951,28.284271247461902,110,102,,1.0
