problem,solver,phi_a,phi_b,status,metric,n_evals,seed,cardinality_a,cardinality_b,delta,containment_violations,value
ibk1,random_search_noise_floor,lu,lu,check,coverage_b_in_a,5000,12,110,132,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,lu,lu,check,overlap,5000,12,110,132,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,lu,lu,check,overlap_jaccard,5000,12,110,132,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,lu,lu,check,coverage_a_in_b,5000,13,132,119,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,lu,lu,check,coverage_b_in_a,5000,13,132,119,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,lu,lu,check,overlap,5000,13,132,119,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,lu,lu,check,overlap_jaccard,5000,13,132,119,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,lu,lu,check,coverage_a_in_b,5000,14,119,151,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,lu,lu,check,coverage_b_in_a,5000,14,119,151,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,lu,lu,check,overlap,5000,14,119,151,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,lu,lu,check,overlap_jaccard,5000,14,119,151,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,lu,lu,check,coverage_a_in_b,5000,15,151,121,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,lu,lu,check,coverage_b_in_a,5000,15,151,121,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,lu,lu,check,overlap,5000,15,151,121,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,lu,lu,check,overlap_jaccard,5000,15,151,121,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,ls,ls,check,coverage_a_in_b,5000,11,145,143,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,ls,ls,check,coverage_b_in_a,5000,11,145,143,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,ls,ls,check,overlap,5000,11,145,143,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,ls,ls,check,overlap_jaccard,5000,11,145,143,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,ls,ls,check,coverage_a_in_b,5000,12,143,160,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,ls,ls,check,coverage_b_in_a,5000,12,143,160,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,ls,ls,check,overlap,5000,12,143,160,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,ls,ls,check,overlap_jaccard,5000,12,143,160,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,ls,ls,check,coverage_a_in_b,5000,13,160,140,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,ls,ls,check,coverage_b_in_a,5000,13,160,140,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,ls,ls,check,overlap,5000,13,160,140,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,ls,ls,check,overlap_jaccard,5000,13,160,140,1.4142135623730951,,1.0
