problem,phi,solver,metric,n_evals,seed,cardinality,full_cardinality,reference_size,include_singular_segments,value
ibk1,cw,random_search,spread,20000,15,100,377,1000,False,17.026575934116945
ibk1,cw,random_search,igd,20000,15,100,377,1000,False,0.11245775503415802
ibk1,cw,random_search,hypervolume,20000,15,100,377,1000,False,3525.7885990876916
ibk1,cw,nsga2,spread,5000,11,100,100,1000,False,17.35460785093317
ibk1,cw,nsga2,igd,5000,11,100,100,1000,False,0.10751455806367823
ibk1,cw,nsga2,hypervolume,5000,11,100,100,1000,False,3521.775499473691
ibk1,cw,nsga2,spread,5000,12,100,100,1000,False,17.33537343625577
ibk1,cw,nsga2,igd,5000,12,100,100,1000,False,0.09859342102463722
ibk1,cw,nsga2,hypervolume,5000,12,100,100,1000,False,3524.7389116722516
ibk1,cw,nsga2,spread,5000,13,100,100,1000,False,17.428813191495383
ibk1,cw,nsga2,igd,5000,13,100,100,1000,False,0.0989939607932523
ibk1,cw,nsga2,hypervolume,5000,13,100,100,1000,False,3526.830758727536
ibk1,cw,nsga2,spread,5000,14,100,100,1000,False,17.360193894294607
ibk1,cw,nsga2,igd,5000,14,100,100,1000,False,0.09654607908615609
ibk1,cw,nsga2,hypervolume,5000,14,100,100,1000,False,3528.3875488841813
ibk1,cw,nsga2,spread,5000,15,100,100,1000,False,17.38491969317634
ibk1,cw,nsga2,igd,5000,15,100,100,1000,False,0.10814859944849133
ibk1,cw,nsga2,hypervolume,5000,15,100,100,1000,False,3514.189616663997
ibk1,cw,nsga2,spread,20000,11,100,100,1000,False,17.399731522598202
ibk1,cw,nsga2,igd,20000,11,100,100,1000,False,0.1004098022381483
ibk1,cw,nsga2,hypervolume,20000,11,100,100,1000,False,3525.466921224701
ibk1,cw,nsga2,spread,20000,12,100,100,1000,False,17.398440583345632
ibk1,cw,nsga2,igd,20000,12,100,100,1000,False,0.10658076492520842
ibk1,cw,nsga2,hypervolume,20000,12,100,100,1000,False,3520.5241952140127
ibk1,cw,nsga2,spread,20000,13,100,100,1000,False,17.399110375681726
ibk1,cw,nsga2,igd,20000,13,100,100,1000,False,0.10043981627523793
ibk1,cw,nsga2,hypervolume,20000,13,100,100,1000,False,3520.6773839198513
ibk1,cw,nsga2,spread,20000,14,100,100,1000,False,17.413808355032177
ibk1,cw,nsga2,igd,20000,14,100,100,1000,False,0.09819236062731525
ibk1,cw,nsga2,hypervolume,20000,14,100,100,1000,False,3528.2469900912392
ibk1,cw,nsga2,spread,20000,15,100,100,1000,False,17.41291067386016
ibk1,cw,nsga2,igd,20000,15,100,100,1000,False,0.09969223630718424
ibk1,cw,nsga2,hypervolume,20000,15,100,100,1000,False,3524.373473856973
ibk1,cw,mopso,spread,5000,11,100,200,1000,False,16.746333579961252
ibk1,cw,mopso,igd,5000,11,100,200,1000,False,0.12428913929753539
ibk1,cw,mopso,hypervolume,5000,11,100,200,1000,False,3524.231209623046
ibk1,cw,mopso,spread,5000,12,100,137,1000,False,17.409841622197092
ibk1,cw,mopso,igd,5000,12,100,137,1000,False,0.1375720483001731
ibk1,cw,mopso,hypervolume,5000,12,100,137,1000,False,3512.713942139688
ibk1,cw,mopso,spread,5000,13,100,162,1000,False,17.080585347827046
ibk1,cw,mopso,igd,5000,13,100,162,1000,False,0.1379001312889954
ibk1,cw,mopso,hypervolume,5000,13,100,162,1000,False,3514.8380034841907
ibk1,cw,mopso,spread,5000,14,100,174,1000,False,17.356413615101633
ibk1,cw,mopso,igd,5000,14,100,174,1000,False,0.10523790886919782
ibk1,cw,mopso,hypervolume,5000,14,100,174,1000,False,3526.8385111757807
ibk1,cw,mopso,spread,5000,15,100,128,1000,False,16.947722623958192
ibk1,cw,mopso,igd,5000,15,100,128,1000,False,0.1168393377530085
ibk1,cw,mopso,hypervolume,5000,15,100,128,1000,False,3516.552561889672
ibk1,cw,mopso,spread,20000,11,100,185,1000,False,17.367140532902482
ibk1,cw,mopso,igd,20000,11,100,185,1000,False,0.1257092032938038
ibk1,cw,mopso,hypervolume,20000,11,100,185,1000,False,3527.439918951877
ibk1,cw,mopso,spread,20000,12,100,200,1000,False,16.79107963618702
ibk1,cw,mopso,igd,20000,12,100,200,1000,False,0.11789006161337733
ibk1,cw,mopso,hypervolume,20000,12,100,200,1000,False,3520.5180008002644
ibk1,cw,mopso,spread,20000,13,100,200,1000,False,16.339639723917454
ibk1,cw,mopso,igd,20000,13,100,200,1000,False,0.1526885383126228
ibk1,cw,mopso,hypervolume,20000,13,100,200,1000,False,3524.7835689095036
ibk1,cw,mopso,spread,20000,14,100,200,1000,False,15.81924656411263
ibk1,cw,mopso,igd,20000,14,100,200,1000,False,0.14382539333348898
ibk1,cw,mopso,hypervolume,20000,14,100,200,1000,False,3526.158682011331
ibk1,cw,mopso,spread,20000,15,100,175,1000,False,17.048460736805165
ibk1,cw,mopso,igd,20000,15,100,175,1000,False,0.1327006874301932
ibk1,cw,mopso,hypervolume,20000,15,100,175,1000,False,3511.0016288009338
