problem,solver,phi_a,phi_b,status,eps,n_evals,delta,box_scale,n_seeds,dice_median,dice_q1,dice_q3,jaccard_median,jaccard_q1,jaccard_q3
dtlz2_interval,random_search,lu,cw,finding,0.1,20000,0.0,3.4641016151377544,5,0.21959902566985198,0.215778572773489,0.23053073135144994,0.12334245422016417,0.12093710426340228,0.1302824159967017
dtlz2_interval,random_search,lu,cw,finding,0.1,20000,0.17320508075688773,3.4641016151377544,5,0.21959902566985198,0.215778572773489,0.23053073135144994,0.12334245422016417,0.12093710426340228,0.1302824159967017
dtlz2_interval,random_search,lu,cw,finding,0.25,5000,0.0,3.4641016151377544,5,0.3738085370907584,0.36695652173913046,0.38523925385239255,0.22986748216106015,0.22470713525026625,0.23857358111501759
dtlz2_interval,random_search,lu,cw,finding,0.25,5000,0.17320508075688773,3.4641016151377544,5,0.3738085370907584,0.36695652173913046,0.38523925385239255,0.22986748216106015,0.22470713525026625,0.23857358111501759
dtlz2_interval,random_search,lu,cw,finding,0.5,5000,0.0,3.4641016151377544,5,0.4869927159209157,0.473551637279597,0.48822890257153206,0.3218707015130674,0.3102310231023102,0.3229516051748922
dtlz2_interval,random_search,lu,cw,finding,0.5,5000,0.17320508075688773,3.4641016151377544,5,0.4869927159209157,0.473551637279597,0.48822890257153206,0.3218707015130674,0.3102310231023102,0.3229516051748922
dtlz2_interval,random_search,lu,ls,check,0.0,5000,0.0,3.4641016151377544,5,1.0,1.0,1.0,1.0,1.0,1.0
dtlz2_interval,random_search,lu,ls,check,0.0,5000,0.17320508075688773,3.4641016151377544,5,1.0,1.0,1.0,1.0,1.0,1.0
dtlz2_interval,random_search,lu,ls,check,0.05,5000,0.0,3.4641016151377544,5,0.25446224256292904,0.2467706013363029,0.255632582322357,0.1457787100157315,0.1407520325203252,0.14654744162940886
dtlz2_interval,random_search,lu,ls,check,0.05,5000,0.17320508075688773,3.4641016151377544,5,0.25446224256292904,0.2467706013363029,0.255632582322357,0.1457787100157315,0.1407520325203252,0.14654744162940886
dtlz2_interval,random_search,lu,ls,check,0.1,5000,0.0,3.4641016151377544,5,0.2907268170426065,0.28829568788501025,0.3057324840764331,0.17008797653958943,0.168426103646833,0.18045112781954886
dtlz2_interval,random_search,lu,ls,check,0.1,5000,0.17320508075688773,3.4641016151377544,5,0.2907268170426065,0.28829568788501025,0.3057324840764331,0.17008797653958943,0.168426103646833,0.18045112781954886
dtlz2_interval,random_search,lu,ls,check,0.1,20000,0.0,3.4641016151377544,5,0.2481560399934437,0.2474820143884892,0.24980605120248253,0.14165419161676648,0.1412151067323481,0.1427304964539007
dtlz2_interval,random_search,lu,ls,check,0.1,20000,0.17320508075688773,3.4641016151377544,5,0.2481560399934437,0.2474820143884892,0.24980605120248253,0.14165419161676648,0.1412151067323481,0.1427304964539007
dtlz2_interval,random_search,lu,ls,check,0.25,5000,0.0,3.4641016151377544,5,0.38746630727762804,0.37955706984667803,0.39571150097465885,0.24028416213957376,0.23423044575273338,0.24665856622114213
dtlz2_interval,random_search,lu,ls,check,0.25,5000,0.17320508075688773,3.4641016151377544,5,0.38746630727762804,0.37955706984667803,0.39571150097465885,0.24028416213957376,0.23423044575273338,0.24665856622114213
dtlz2_interval,random_search,lu,ls,check,0.5,5000,0.0,3.4641016151377544,5,0.5133577789418544,0.497115888830624,0.5190994181634202,0.34531360112755466,0.3307745987438939,0.3505295524427742
