# metrics table, written by src/reporting.py, subpart d3. two blocks with
# different columns, and the split is the content and not the layout.
# every value is a median with its interquartile range over the seed count in
# the same row, and every row states the evaluation budget and the
# cardinality it was computed at. no cell is one run.

block,objective_space
# hypervolume, igd and spread are computed on the (k, 2m) rows of one
# phi's image. each phi maps the same problem into a different space on a
# different scale, CONTEXT.md section 5 step 5, so these compare solvers
# under one fixed phi and never rank one phi against another; a ratio
# taken across two phi here is a ratio of volumes in two different spaces
# and means nothing. all three move with the cardinality, r-16, which is
# why every row states the one it was computed at.
problem,phi,solver,metric,n_seeds,n_evals,cardinality,reference_size,sampling_mode,include_singular_segments,hv_reference_rule,hv_reference_point,median,q1,q3,iqr
zdt1_interval,ls,random_search,hypervolume,5,20000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0972468519014518 0.065 7.206322987109149 0.065,0.013529538288069175,0.01342214504746347,0.013552328464524196,0.00013018341706072523
zdt1_interval,ls,random_search,hypervolume,5,5000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0972468519014518 0.065 7.206322987109149 0.065,0.012964656126948066,0.012851715087587175,0.013283783539782157,0.00043206845219498184
zdt1_interval,ls,random_search,spread,5,20000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0972468519014518 0.065 7.206322987109149 0.065,3.6890345954764894,3.5357042116029653,3.8402131616773056,0.3045089500743403
zdt1_interval,ls,random_search,spread,5,5000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0972468519014518 0.065 7.206322987109149 0.065,3.4491280178781905,3.377896095029851,3.7884315857523605,0.4105354907225096
zdt1_interval,lu,mopso,hypervolume,5,20000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0718209812329011 1.1240224351788963 7.074300083221116 7.0860392233066785,38.82098635516637,38.347204465142084,40.196722688459744,1.8495182233176592
zdt1_interval,lu,mopso,hypervolume,5,5000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0718209812329011 1.1240224351788963 7.074300083221116 7.0860392233066785,32.142554993407344,30.565124858745165,33.98943817412118,3.4243133153760184
zdt1_interval,lu,mopso,spread,5,20000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0718209812329011 1.1240224351788963 7.074300083221116 7.0860392233066785,5.052371487490889,4.403847402521475,5.34752736522475,0.9436799627032757
zdt1_interval,lu,mopso,spread,5,5000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0718209812329011 1.1240224351788963 7.074300083221116 7.0860392233066785,5.207941312553474,4.539722146974502,5.2241755842510935,0.6844534372765914
zdt1_interval,lu,nsga2,hypervolume,5,20000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0718209812329011 1.1240224351788963 7.074300083221116 7.0860392233066785,52.85456111530182,52.778964292751496,53.064332447263,0.2853681545115023
zdt1_interval,lu,nsga2,hypervolume,5,5000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0718209812329011 1.1240224351788963 7.074300083221116 7.0860392233066785,45.84220188456777,44.471799015322695,46.126317573824394,1.6545185585016995
zdt1_interval,lu,nsga2,spread,5,20000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0718209812329011 1.1240224351788963 7.074300083221116 7.0860392233066785,2.3535724051845595,2.3219886623453236,2.5711721607406908,0.24918349839536713
zdt1_interval,lu,nsga2,spread,5,5000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0718209812329011 1.1240224351788963 7.074300083221116 7.0860392233066785,4.76544657646872,4.579769414379523,4.854684767551232,0.2749153531717088
zdt1_interval,lu,random_search,hypervolume,5,20000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0718209812329011 1.1240224351788963 7.074300083221116 7.0860392233066785,19.62902356511256,19.52582398753538,20.968546397367003,1.4427224098316245
zdt1_interval,lu,random_search,hypervolume,5,5000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0718209812329011 1.1240224351788963 7.074300083221116 7.0860392233066785,20.45124591522245,19.660387163935695,20.772931017303506,1.1125438533678107
zdt1_interval,lu,random_search,spread,5,20000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0718209812329011 1.1240224351788963 7.074300083221116 7.0860392233066785,5.943027085824159,5.870115185951642,6.0271886064020785,0.1570734204504367
zdt1_interval,lu,random_search,spread,5,5000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0718209812329011 1.1240224351788963 7.074300083221116 7.0860392233066785,5.471990512439326,5.4262592219929635,5.555966293551419,0.12970707155845584

block,decision_space
# hausdorff, coverage, overlap and cross evaluation are computed on the
# recovered sets in the decision space, which is the one space every phi
# shares, so these are the metrics comparable across phi and this is the
# block a phi comparison is read from. a row whose status is check has one
# direction fixed by a containment before any solver ran, r-06 and r-11,
# so a difference there is in part a theorem; only a row whose status is
# finding carries the sensitivity signal.
problem,phi_a,phi_b,status,metric,n_seeds,n_evals,cardinality_a,cardinality_b,delta,box_scale,containment_violations,note,median,q1,q3,iqr
dtlz2_interval,ls,cw,check,coverage_a_in_b,5,5000,200,200,0.17320508075688773,3.4641016151377544,,"measured on mopso's own output, where phi drives the search as well as the ordering, so this is a question about how the solver behaves under each order and never a pair number of the study; delta is 0.05 of the box diameter, the box_scale column; overlap is dice, the two covered counts over the two cardinalities, and the jaccard value of the same pair is in overlap_conventions.csv; containment_violations is the largest count over the seeds; check on r-06 and not a finding: ND_cw sits inside ND_ls exactly and for every problem, docs/a_close_containment.md, so coverage of cw in ls and one direction of the overlap are fixed before this runs. the containment is exact in real arithmetic and fails by rounding in doubles, one point of 1565 measured, r-11, so a nonzero violation count is arithmetic and never a result about phi. it stands on s-11; if the supervisors refute the criterion this pair is reported like the other and no result moves",0.0,0.0,0.0,0.0
