problem,phi,solver,metric,eps,n_evals,seed,cardinality,full_cardinality,reference_size,include_singular_segments,value
zdt1_interval,cw,random_search,hypervolume,0.05,5000,12,20,250,0,False,0.0005756466866090572
zdt1_interval,cw,random_search,spread,0.05,5000,13,20,257,0,False,2.428134390684764
zdt1_interval,cw,random_search,hypervolume,0.05,5000,13,20,257,0,False,0.000513412938029164
zdt1_interval,cw,random_search,spread,0.05,5000,14,20,253,0,False,2.9100896561602148
zdt1_interval,cw,random_search,hypervolume,0.05,5000,14,20,253,0,False,0.0005732358045680038
zdt1_interval,cw,random_search,spread,0.05,5000,15,20,271,0,False,3.115941572037522
zdt1_interval,cw,random_search,hypervolume,0.05,5000,15,20,271,0,False,0.0005584578309169219
zdt1_interval,cw,nsga2,spread,0.05,5000,11,20,100,0,False,2.0668957736282465
zdt1_interval,cw,nsga2,hypervolume,0.05,5000,11,20,100,0,False,0.0009365487876351557
zdt1_interval,cw,nsga2,spread,0.05,5000,12,20,100,0,False,2.1994256185410404
zdt1_interval,cw,nsga2,hypervolume,0.05,5000,12,20,100,0,False,0.0008002422634244726
zdt1_interval,cw,nsga2,spread,0.05,5000,13,20,100,0,False,1.982339662490638
zdt1_interval,cw,nsga2,hypervolume,0.05,5000,13,20,100,0,False,0.0009334628000075808
zdt1_interval,cw,nsga2,spread,0.05,5000,14,20,100,0,False,2.0738616265184753
zdt1_interval,cw,nsga2,hypervolume,0.05,5000,14,20,100,0,False,0.0009637554046291657
zdt1_interval,cw,nsga2,spread,0.05,5000,15,20,100,0,False,2.279978813068197
zdt1_interval,cw,nsga2,hypervolume,0.05,5000,15,20,100,0,False,0.0009763112812056043
zdt1_interval,cw,mopso,spread,0.05,5000,11,20,196,0,False,2.793451733672135
zdt1_interval,cw,mopso,hypervolume,0.05,5000,11,20,196,0,False,0.0007547621427768575
zdt1_interval,cw,mopso,spread,0.05,5000,12,20,177,0,False,2.8467699785224756
zdt1_interval,cw,mopso,hypervolume,0.05,5000,12,20,177,0,False,0.0007405081821945317
zdt1_interval,cw,mopso,spread,0.05,5000,13,20,181,0,False,3.1096599357240824
zdt1_interval,cw,mopso,hypervolume,0.05,5000,13,20,181,0,False,0.0007948965855067447
zdt1_interval,cw,mopso,spread,0.05,5000,14,20,198,0,False,2.402638819546508
zdt1_interval,cw,mopso,hypervolume,0.05,5000,14,20,198,0,False,0.0007504859194815384
zdt1_interval,cw,mopso,spread,0.05,5000,15,20,143,0,False,2.399041614505753
zdt1_interval,cw,mopso,hypervolume,0.05,5000,15,20,143,0,False,0.0007716236488644942
zdt1_interval,lu,random_search,spread,0.1,5000,11,29,32,0,False,5.4262592219929635
zdt1_interval,lu,random_search,hypervolume,0.1,5000,11,29,32,0,False,20.772931017303506
zdt1_interval,lu,random_search,spread,0.1,5000,12,29,36,0,False,6.518515594229135
zdt1_interval,lu,random_search,hypervolume,0.1,5000,12,29,36,0,False,20.45124591522245
zdt1_interval,lu,random_search,spread,0.1,5000,13,29,43,0,False,5.471990512439326
zdt1_interval,lu,random_search,hypervolume,0.1,5000,13,29,43,0,False,19.660387163935695
zdt1_interval,lu,random_search,spread,0.1,5000,14,29,43,0,False,5.555966293551419
zdt1_interval,lu,random_search,hypervolume,0.1,5000,14,29,43,0,False,19.602591895520877
zdt1_interval,lu,random_search,spread,0.1,5000,15,29,29,0,False,5.303836592748585
zdt1_interval,lu,random_search,hypervolume,0.1,5000,15,29,29,0,False,22.110322166854402
zdt1_interval,lu,random_search,spread,0.1,20000,11,29,60,0,False,5.440072427594158
zdt1_interval,lu,random_search,hypervolume,0.1,20000,11,29,60,0,False,19.62902356511256
zdt1_interval,lu,random_search,spread,0.1,20000,12,29,55,0,False,5.943027085824159
zdt1_interval,lu,random_search,hypervolume,0.1,20000,12,29,55,0,False,21.331941512808015
