problem,phi,metric,eps,n_evals,seed,delta_box_fraction,delta,box_scale,cardinality_a,cardinality_b,value
zdt1_interval,ls,coverage_b_in_a,0.05,5000,11,0.5,2.7386127875258306,5.477225575051661,304,270,1.0
zdt1_interval,ls,coverage_a_in_b,0.05,5000,12,0.05,0.2738612787525831,5.477225575051661,270,274,0.0
zdt1_interval,ls,coverage_b_in_a,0.05,5000,12,0.05,0.2738612787525831,5.477225575051661,270,274,0.0
zdt1_interval,ls,coverage_a_in_b,0.05,5000,12,0.1,0.5477225575051662,5.477225575051661,270,274,0.0
zdt1_interval,ls,coverage_b_in_a,0.05,5000,12,0.1,0.5477225575051662,5.477225575051661,270,274,0.0
zdt1_interval,ls,coverage_a_in_b,0.05,5000,12,0.2,1.0954451150103324,5.477225575051661,270,274,0.0
zdt1_interval,ls,coverage_b_in_a,0.05,5000,12,0.2,1.0954451150103324,5.477225575051661,270,274,0.0
zdt1_interval,ls,coverage_a_in_b,0.05,5000,12,0.3,1.6431676725154982,5.477225575051661,270,274,0.8851851851851852
zdt1_interval,ls,coverage_b_in_a,0.05,5000,12,0.3,1.6431676725154982,5.477225575051661,270,274,0.8868613138686131
zdt1_interval,ls,coverage_a_in_b,0.05,5000,12,0.5,2.7386127875258306,5.477225575051661,270,274,1.0
zdt1_interval,ls,coverage_b_in_a,0.05,5000,12,0.5,2.7386127875258306,5.477225575051661,270,274,1.0
zdt1_interval,ls,coverage_a_in_b,0.05,5000,13,0.05,0.2738612787525831,5.477225575051661,274,269,0.0
zdt1_interval,ls,coverage_b_in_a,0.05,5000,13,0.05,0.2738612787525831,5.477225575051661,274,269,0.0
zdt1_interval,ls,coverage_a_in_b,0.05,5000,13,0.1,0.5477225575051662,5.477225575051661,274,269,0.0
zdt1_interval,ls,coverage_b_in_a,0.05,5000,13,0.1,0.5477225575051662,5.477225575051661,274,269,0.0
zdt1_interval,ls,coverage_a_in_b,0.05,5000,13,0.2,1.0954451150103324,5.477225575051661,274,269,0.0
zdt1_interval,ls,coverage_b_in_a,0.05,5000,13,0.2,1.0954451150103324,5.477225575051661,274,269,0.0
