measurement,structure,problem,phi,eps,column,free_set_size,constant_column,n_evals,seed,defined,value,protected_index
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,3,29,False,5000,19,True,3.0999754638247845,87
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,3,29,False,5000,19,True,3.0999754638247845,87
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,0,28,False,5000,20,True,2.862841107253359,432
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,0,28,False,5000,20,True,2.8559100633553047,432
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,1,29,False,5000,20,True,2.864908841237005,1441
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,1,29,False,5000,20,True,2.8589058549611943,1441
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,2,0,False,5000,20,True,0.0,1078
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,2,0,False,5000,20,True,0.0,1078
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,3,29,False,5000,20,True,2.96100716712163,2578
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,3,29,False,5000,20,True,2.96100716712163,2578
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,0,28,False,5000,21,True,3.2821521196367534,3214
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,0,28,False,5000,21,True,3.1669175602182436,3214
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,1,29,False,5000,21,True,2.7180036818456252,4031
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,1,29,False,5000,21,True,2.7178399952622954,4031
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,2,0,False,5000,21,True,0.0,4215
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,2,0,False,5000,21,True,0.0,4215
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,3,29,False,5000,21,True,2.9458260587399185,1353
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,3,29,False,5000,21,True,2.9458260587399185,1353
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,0,28,False,5000,22,True,2.9526417814694197,1892
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,0,28,False,5000,22,True,2.9525088864981335,1892
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,1,29,False,5000,22,True,3.0336271840788385,253
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,1,29,False,5000,22,True,2.904116478230803,253
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,2,0,False,5000,22,True,0.0,160
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,2,0,False,5000,22,True,0.0,160
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,3,29,False,5000,22,True,2.9126700284634093,4631
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,3,29,False,5000,22,True,2.9126700284634093,4631
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,0,28,False,5000,23,True,2.7694960956437784,1252
