problem,solver,phi,n_evals,seed,cardinality,n_columns,file
p1,random_search,ls,20000,11,8339,4,raw/p1_random_search_ls_20000.npz
p1,random_search,ls,20000,12,8506,4,raw/p1_random_search_ls_20000.npz
p1,random_search,ls,20000,13,8489,4,raw/p1_random_search_ls_20000.npz
p1,random_search,ls,20000,14,8467,4,raw/p1_random_search_ls_20000.npz
p1,random_search,ls,20000,15,8382,4,raw/p1_random_search_ls_20000.npz
p1,random_search,lu,5000,11,610,4,raw/p1_random_search_lu_5000.npz
p1,random_search,lu,5000,12,622,4,raw/p1_random_search_lu_5000.npz
p1,random_search,lu,5000,13,590,4,raw/p1_random_search_lu_5000.npz
p1,random_search,lu,5000,14,586,4,raw/p1_random_search_lu_5000.npz
p1,random_search,lu,5000,15,608,4,raw/p1_random_search_lu_5000.npz
p1,random_search,lu,20000,11,2058,4,raw/p1_random_search_lu_20000.npz
p1,random_search,lu,20000,12,2141,4,raw/p1_random_search_lu_20000.npz
p1,random_search,lu,20000,13,2077,4,raw/p1_random_search_lu_20000.npz
p1,random_search,lu,20000,14,2115,4,raw/p1_random_search_lu_20000.npz
p1,random_search,lu,20000,15,2035,4,raw/p1_random_search_lu_20000.npz
